flight_date,month,day_of_week,dep_hour,airline,airline_name,origin,dest,origin_city,dest_city,distance,origin_weather,dest_weather,airport_congestion,aircraft_age,turnaround_time,maintenance_flag,carrier_delay_history,nas_delay,dep_delay_minutes,is_delayed
2023-04-13,4,3,19,NK,Spirit Airlines,MIA,SEA,Miami,Seattle,5191.3,Cloudy,Clear,106,4,49.8,0,10.2,0.0,-4,0
2023-07-11,7,1,22,AA,American Airlines,PHX,BOS,Phoenix,Boston,4665.9,Clear,Rain,65,16,41.2,0,13.4,0.0,-3,0
2023-11-03,11,4,16,AA,American Airlines,SFO,SLC,San Francisco,Salt Lake City,1176.8,Clear,Fog,76,7,59.2,0,11.3,0.0,66,1
2023-02-23,2,3,14,AS,Alaska Airlines,BWI,PHX,Baltimore,Phoenix,3993.1,Wind,Thunderstorm,59,16,56.2,0,0.0,0.0,7,0
2023-12-04,12,0,14,F9,Frontier Airlines,BOS,LAS,Boston,Las Vegas,4906.7,Clear,Rain,73,8,37.3,1,20.8,0.0,-1,0
2023-08-19,8,5,16,WN,Southwest Airlines,SFO,MCO,San Francisco,Orlando,4715.9,Fog,Rain,67,23,63.2,0,27.3,4.1,240,1
2023-05-11,5,3,18,DL,Delta Air Lines,MSP,SFO,Minneapolis,San Francisco,3328.0,Cloudy,Thunderstorm,77,4,30.5,0,9.7,0.0,15,1
2023-07-06,7,3,17,WN,Southwest Airlines,LAX,MIA,Los Angeles,Miami,4252.2,Fog,Thunderstorm,127,12,65.6,0,16.8,0.0,17,1
2023-05-01,5,0,19,AA,American Airlines,ORD,SEA,Chicago O'Hare,Seattle,3873.6,Snow,Fog,102,24,26.3,0,17.1,0.0,264,1
2023-02-21,2,1,10,NK,Spirit Airlines,LAX,DFW,Los Angeles,Dallas/Fort Worth,2273.8,Rain,Cloudy,75,17,44.0,1,18.4,0.0,104,1
2023-02-22,2,2,13,F9,Frontier Airlines,JFK,DFW,New York JFK,Dallas/Fort Worth,2710.3,Cloudy,Fog,79,2,34.7,0,6.2,0.0,15,1
2023-12-15,12,4,19,WN,Southwest Airlines,DFW,CLT,Dallas/Fort Worth,Charlotte,1809.2,Snow,Fog,101,7,53.0,0,5.9,0.0,30,1
2023-05-31,5,2,14,DL,Delta Air Lines,ORD,SEA,Chicago O'Hare,Seattle,3919.5,Snow,Fog,78,16,52.9,0,25.0,1.6,10,0
2023-05-11,5,3,19,AS,Alaska Airlines,ATL,PHX,Atlanta,Phoenix,3069.1,Wind,Thunderstorm,125,3,53.5,0,13.4,1.8,37,1
2023-06-18,6,6,9,WN,Southwest Airlines,ATL,DTW,Atlanta,Detroit,1016.7,Thunderstorm,Thunderstorm,96,1,32.7,0,37.7,4.5,13,0
